,song_lyric
264,"You can call me M tonight
You can be my man tonight
It's gonna be like this, that's right
Give you love that you'll never forget

The city is our playground tonight
We're gonna be like gangsters tonight
We don't give a damn if it's wrong or right
Lighten up, we won't have no regrets

I'll make this the best night of your life
I'll make this the best night of your life
I'll make this the best night of your life
I'll make this the best night of your life

Lose your self-control, we can go wild
Show you what it means to feel alive
I'll make this the best night of your life
I'll make this the best night of your life

We don't have to speak that much
I hear you when I feel your touch
Whisper in my ears, make me blush
Feel the chill as we kiss, don't forget

All you had as dreams, don't hold back
All the fantasies you ever had
Just do what you like, go ahead
Close your eyes, make a wish, no regrets

I'll make this the best night of your life
I'll make this the best night of your life
I'll make this the best night of your life
I'll make this the best night of your life

Lose your self-control, we can go wild
Show you what it means to feel alive
I'll make this the best night of your life
I'll make this the best night of your life

Surrender to the pleasure (wanting)
When we breath in together (waiting)
It's either now or never (for you)
This feeling will take over

No sex tapes, no camera (wanting)
Just you and me together (waiting)
Repeat it like a mantra (for you)
I'm in love, I'm in love

I'll make this the best night of your life
I'll make this the best night of your life
I'll make this the best night of your life
I'll make this the best night of your life

Lose your self-control, we can go wild
Show you what it means to feel alive
I'll make this the best night of your life
I'll make this the best night of your life"
334,"Never forget who you are
Little star (little star)
Never forget how to dream
Butterfly

God gave a present to me
Made of flesh and bones
My life, my soul
You make my spirit whole

Never forget who you are
Little star
Shining brighter than all the stars in the sky
Never forget how to dream
Butterfly
Never forget where you come from
From love

You are a treasure to me
You are my star
You breathe new life
Into my broken heart

Never forget who you are
Little star
Never forget how to dream
Butterfly

May the angels protect you
And sadness forget you
Little star

There's no reason to weep
Lay your head down to sleep
Little star

May goodness surround you
My love I have found you
Little star

Shining bright

(Little star)

You breathe new life
Into my broken heart

Never forget who you are
Little star
Shining brighter than all the stars in the sky
Never forget how to dream
Butterfly
Flying higher than all the birds in the sky

Never forget who you are
Little star
Never forget where you come from
From love

Little star
Little star
Little star
From love

(Little star)"
235,"I made it through the wilderness
Somehow I made it through
Didn't know how lost I was
Until I found you

I was beat
Incomplete
I'd been had, I was sad and blue
But you made me feel
Yeah, you made me feel
Shiny and new

Hoo, Like a virgin
Touched for the very first time
Like a virgin
When your heart beats
Next to mine

Gonna give you all my love, boy
My fear is fading fast
Been saving it all for you
'Cause only love can last

You're so fine
And you're mine
Make me strong, yeah you make me bold
Oh your love thawed out
Yeah, your love thawed out
What was scared and cold

Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat
Next to mine

Whoa
Whoa, ah
Whoa

You're so fine
And you're mine
I'll be yours
'Till the end of time
'Cause you made me feel
Yeah, you made me feel
I've nothing to hide

Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat
Next to mine

Like a virgin, ooh ooh
Like a virgin
Feels so good inside
When you hold me,
And your heart beats,
And you love me

Oh oh, ooh whoa
Oh oh oh whoa
Whoa oh ho, ho

Ooh baby
Yeah
Can't you hear my heart beat
For the very first time?"
256,"Maybe it was all too much
Too much for a man to take
Everything's bound to break
Sooner or later, sooner or later

You're all that I can trust
Facing the darkest days
Everyone ran away
But we're gonna stay here, we're gonna stay here

Ah, Ah
I know you're scared tonight
Ah, Ah
I'll never leave your side

When it all falls, when it all falls down
I'll be your fire when the lights go out
When there's no one, no one else around
We'll be two souls in a ghost town

When the world gets cold
I'll be your cover
Let's just hold
Onto each other
When it all falls, when it all falls down
We'll be two souls in a ghost town

Tell me how we got this far
Every man for himself
Everything's gone to hell
We gotta stay strong, we're gonna hold on

This world has turned to dust
All we've got left is love
Might as well start with us
Singing a new song, something to build on

Ah, Ah
I know you're scared tonight
Ahhhhhh, Ahhhhh
I'll never leave your side

When it all falls, when it all falls down
I'll be your fire when the lights go out
When there's no one, no one else around
We'll be two souls in a ghost town

When the world gets cold
I'll be your cover
Let's just hold
Onto each other
When it all falls, when it all falls down
We'll be two souls in a ghost town

I know we're alright
'Cause we'll never be alone
In this mad mad, in this mad mad world
Even with no light
We're gonna shine like gold
In this mad mad, in this mad mad world

When it all falls, when it all falls down
I'll be your fire when the lights go out
When there's no one, no one else around
We'll be two souls in a ghost town

When it all falls, when it all falls down
I'll be your fire when the lights go out
When there's no one, no one else around
We'll be two souls in a ghost town

When the world gets cold
I'll be your cover
Let's just hold
Onto each other
When it all falls, when it all falls down
We'll be two souls in a ghost town
When it all falls, when it all falls down
We'll be two souls in a ghost town"
337,"You lost your reputation on a woman
You didn't understand or care to know
You get your education from your lovers
But now there's just no place for you to go

It doesn't pay
To be a runaway lover
It doesn't pay
To give away what you lack
You'll never get your money back

You're set adrift with no direction
Just like a ship that's lost at sea
You don't care where you drop your anchor
Make sure it doesn't land on me

It doesn't pay
To be a runaway lover
It doesn't pay
To give away what you lack
You'll never get your money back

It doesn't pay
To be a runaway lover
It doesn't pay (It doesn't pay)
To give away what you lack
You'll never get your money back (To give away, to give away)

Walking around on a cloud
'Cause every girl you meet just trips on you
Saying your name out loud
I guess you met your match
Now what will you do

Uh uh no away

It doesn't pay
To be a runaway lover
It doesn't pay
To give away what you lack
You'll never get your money back

It doesn't pay
To be a runaway lover
It doesn't pay
To give away what you lack
You'll never get your money back

Walking around on a cloud
'Cause every girl you meet just trips on you
Saying your name out loud
I guess you met your match
Now what will you do

It doesn't pay
It doesn't pay
It doesn't pay
To give your heart away
To a runaway lover

Uh uh, no way
Uh uh, no way
Uh uh, no way"
149,"""This could never work,"" is what we said at first
But whatever this is, it's working
But we're in two different worlds and (yeah)
I'm not your husband (nah), you ain't my girlfriend
All I know is that (what?)
When I'm with you, I'm a different person, yeah
And I ain't never met a chick as perfect
Girl, you're a ten, so here I am (yeah)
Laying here with her again
Thinking 'bout you
She's asleep, you're texting me around two
Crying face emoji, you say this is me without you
We're sneaking out to meet at cheap hotel rooms or
Sex in the car, then I'll text you tomorrow
Do I question it? Nah, no objection at all
'Cause both of us are still involved, so
As I'm peelin' off, all I'm thinking 'bout is

I'm not happy here (nah), with her (mm)
Rather have you (yeah), rather have me too (ooh)
'Cause you're not happy there (you're not happy there) with him
Rather have me (I know, but), we're just in too deep (I'm in way too deep)

You're laying there with him, thinking 'bout me
He's asleep, you say, ""let's meet around three""
You went to leave the house, he caught you sneaking out, now he's freaking out
You thought he was sleepin' soundly, whoa
You say you're going for a drive, you don't question him
When he stumbles in, like, ""where the f*ck you've been?""
Then you pump his ear with what he wants to hear
Tell him you love him, yeah, wipe each other's tears
But it's been a couple years since we been doin' dirt
You or my girl, don't wanna see either of you get hurt
But now the lines are gettin' super blurred
Can't tell if I'm cheatin' on her with you or cheatin' on you with her
But really, nobody's at fault, can't help who you love
Hope they don't ever hear us talk
'Cause we both are gettin' sloppy
Probably subconsciously part of me's hoping we get caught 'cause

I'm not happy here (nah), with her (mm)
Rather have you (yeah), rather have me too (ooh)
'Cause you're not happy there (you're not happy there) with him
Rather have me (I know, but), we're just in too deep (I'm in way too deep)

We're laying here with them, thinking 'bout us
'Cause now when we get home, we get jealous
Of each other being someone else's
Call us Long John Silver's 'cause we selfish
But I just wanna see ya
Don't care if it's at the Ritz or Motel 6
If I'm there with ya, rich or poor
When I'm laying here with ya, it could be the kitchen floor
I could stay in bed with ya, starin' at ya 'til the morn'
I just wanna be your secret lover, yeah
I'd rather share ya than to not have you at all
So once a year or twice a month, I'm here if you want it
Yeah, I'm open season
And I'm always game, so keep it a hunnid, dear, haha
'Cause we could never be each other's everythings, you got a wedding ring
So it's him instead of me, but I'll be your second string, now and forever because

I'm not happy here (nah), with her (mm)
Rather have you (yeah), rather have me too (ooh)
'Cause you're not happy there (you're not happy there) with him
Rather have me (I know, but), we're just in too deep (I'm in way too deep)"
379,"I could be your sister, I could be your mother
We could be friends, I'd even be your brother
But I'd rather be your lover
That's right, I'd rather be your lover

I don't know where I stand with you
I never ever make any plans with you
I don't know what I mean to you
The only thing I know is I dream of you

And all that I know (All that I know)
Is I just don't understand (Just don't understand]
Why my, happiness always lies
In the palm of your hand, but

I could be your sister, I could be your mother
We could be friends, I'd even be your brother
But I'd rather be your lover
That's right, I'd rather be your lover

Sometimes I know what you're thinking next
But wouldn't it be better if I loved you less?
Sometimes I think that I made you up
But wouldn't it be better if I gave you up?

And all that I know (All that I know)
Is I just don't understand (Just don't understand)
Why my, happiness always lies
In the palm of your hand, but

I could be your sister, I could be your mother
We could be friends, I'd even be your brother
But I'd rather be your lover
That's right, I'd rather be your lover

Are you surprised?

Tell me whatch-ya want, tell me whatch-ya need
Tell me whatch-ya want, tell me whatch-ya need
I, I betcha I, I give you whatch-ya need
Take a walk within me, venture through the dark sea
Can't you see, I need you beside me
Don't you see, I want you to want me

And all that I know (All that I know)
Is I just don't understand (Just don't understand)
Why my, happiness always lies
In the palm of your hand, but

I could be your sister, I could be your mother
We could be friends, I'd even be your brother
But I'd rather be your lover
That's right, I'd rather be your lover

I could be your sister, I could be your mother
We could be friends, I'd even be your brother
But I'd rather be your lover
That's right, I'd rather be your lover

Are you surprised?

I could be your sister, I could be your mother
We could be friends, I'd even be your brother
But I'd rather be your lover
That's right, I'd rather be your lover

Are you surprised? Are you?"
417,"Como puede ser verdad
 
Last night I dreamt of San Pedro
Just like I'd never gone, I knew the song
A young girl with eyes like the desert
It all seems like yesterday, not far away

Tropical the island breeze
All of nature wild and free
This is where I long to be
La isla bonita
And when the samba played
The sun would set so high
Ring through my ears and sting my eyes
Your Spanish lullaby

I fell in love with San Pedro
Warm wind carried on the sea, he called to me
Te dijo te amo
I prayed that the days would last
They went so fast

Tropical the island breeze
All of nature wild and free
This is where I long to be
La isla bonita
And when the samba played
The sun would set so high
Ring through my ears and sting my eyes
Your Spanish lullaby

I want to be where the sun warms the sky
When it's time for siesta you can watch them go by
Beautiful faces, no cares in this world
Where a girl loves a boy, and a boy loves a girl

Last night I dreamt of San Pedro
It all seems like yesterday, not far away

Tropical the island breeze
All of nature wild and free
This is where I long to be
La isla bonita
And when the samba played
The sun would set so high
Ring through my ears and sting my eyes
Your Spanish lullaby

Tropical the island breeze
All of nature wild and free
This is where I long to be
La isla bonita
And when the samba played
The sun would set so high
Ring through my ears and sting my eyes
Your Spanish lullaby

La la la la la la la
Te dijo te amo
La la la la la la la
El dijo que te ama"
64,"Yo, mic check
Testing one, two, um, twelve
This is my dance song, can you hear me?
Alright, turn my headphones up
My favorite color is red, like the blood shed
In Kurt Cobain's head when he shot himself dead
Women all grabbin' at my shish-kabob
Bought Lauryn Hill's tape so her kids could starve
You thought I was livid, now I'm even more so
Shit I got full blown AIDS and a sore throat
I got a wardrobe with an orange robe
I'm in the fourth row, signin' autographs at your show
I just remembered that I'm absent minded
Wait, I mean I've lost my mind I can't find it
I freestylin' ever verse that I spit
'Cause I don't even remember the words to my shit
I told the doc that I need a change in sickness
I gave a girl herpes in exchange for syphilis
Put my L-P on your Christmas wish list
You want to get high, here bitch just sniff this
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight

I tried suicide once and I'll try it again
That's why I write songs where I die at the end
'Cause I don't give a f*ck, like my middle finger was stuck
And I was waving it at everybody screamin', ""I suck""
I go on stage in front of a sellout crowd
And yell out loud, ""All of y'all, get the hell out now""
F*ck rap, I'm givin' it up y'all, I'm sorry
I'm bored out of my gourd
So I took a hammer and nailed my foot the the floorboard of my Ford
I guess I'm just a sick, sick bastard
Just one sandwich short of a picnic basket
One Excedrin tablet short of a full medicine cabinet
Fell like my head has been shredded like lettuce and cabbage
And if you ever see a video for this shit
I'll probably be dressed up like a mummy with my wrists slit
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight

Got bitches on my jock out in East Detroit
'Cause they think I'm a motherfuckin' Beastie Boy
So I told 'em I was Mike D, they was like, ""Gee, I don't know, he might be""
I told um meet me at Kid Rocks next concert
I'll be standin' by the Loch Ness monster, peace out
Then I jetted to the weed house, smoked out 'til I started bustin'
Freestyles
Broke out then I dipped quick back to the crib, put on lipstick
Crushed up the Tylenol then ate it with a dipstick
Made a couple of crank calls collect
I wanna make songs on a fellas dub
And murder every rich rapper that I'm jealous of

So just remember when I bomb your set
Yo, I only cuss to make your mom upset
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight
Cum on everybody, get down tonight"
214,"Some boys kiss me
Some boys hug me
I think they're ok
If they don't give me proper credit
I just walk away

They can beg and they can plead
But they can't see the light (that's right)
'Cause the boy with the cold hard cash
Is always Mister Right

'Cause we are living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl

Some boys romance
Some boys slow dance
That's all right with me
If they can't raise my interest then I
Have to let them be

Some boys try and some boys lie but
I don't let them play (no way)
Only boys who save their pennies
Make my rainy day

'Cause we're living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
Living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl

Living in a material world (material)
Living in a material world
Living in a material world (material)
Living in a material world

Boys may come and boys may go
And that's all right you see
Experience has made me rich
And now they're after me

'Cause everybody's living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
Living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl

A material, a material, a material, a material world

Living in a material world (material)
Living in a material world
Living in a material world (material)
Living in a material world

Living in a material world (material)
Living in a material world
Living in a material world (material)
Living in a material"
177,"Can we pretend that airplanes
In the night sky
Is like shooting stars
I could really use a wish right now (wish right now, wish right now)
Can we pretend that airplanes
In the night sky
Are like shooting stars
I could really use a wish right now (wish right now, wish right now)

(Dreamin', of fallin, dreamin', of fallin')

Let's pretend like its '98
Like I'm eating lunch off of Styrofoam trays
Trying to be the next rapper coming out the A
Hoping for a record deal, to re-know my pain
Now let's pretend like I'm on the stage
And when my beat drops everybody goes insane (ok)
And everybody know my name (B.o.B)
And everywhere I go people wanna hear me sang
Oh yea and I just dropped my new album
On the first week I did five hundred thousand
Gold in the spring and diamond in the fall
And then a world tour just to top it all off
And let's pretend like they call me the greatest
Selling out arenas with big ass stages
And everybody loved me and no one ever hated
Let's try to use imagination

Can we pretend that airplanes
In the night sky
Is like shooting stars
I could really use a wish right now (wish right now, wish right now)
Can we pretend that airplanes
In the night sky
Are like shooting stars
I could really use a wish right now (wish right now, wish right now)

Okay, let's pretend like this never happened
Like I never had dreams of being a rapper
Like I didn't write raps in all of my classes
Like I never used to runaway into the blackness
Now let's pretend like it was all-good
Like I didn't live starring in a notebook
Like I did the things I probably knew I should
But I didn't have neighbors that's why they call it hood
Now let's pretend like I ain't got a name
Before they ever called me B.o.B or a.k.a Bobby Ray
I'm talking back before the mixtapes
Before the videos and the deals and the fame
Before they ever once compared me to Andre
Before I ever got Myspace
Before they ever noticed my face
So let's just pretend and make wishes out of airplanes

Can we pretend that airplanes
In the night sky
Is like shooting stars
I could really use a wish right now (wish right now, wish right now)
Can we pretend that airplanes
In the night sky
Are like shooting stars
I could really use a wish right now (wish right now, wish right now)

(And it seems like yesterday it was just a dream 
But those days are gone, they're just memories
And it seems yesterday it was just a dream
But those days are gone)

Let's pretend Marshall Mathers never picked up a pen
Let's pretend things would've been no different
Pretend he procrastinated, had no motivation
Pretend he just made excuses that 
Was so paper thin they could blow away wit the wind
Marshall you never gone make it, 
Makes no sense to play the game it ain't no way that'll you win
Pretend he just stand out side all day and play with his friends
Pretend he even had a friend to say was his friend
And it wasn't time to move in school no changing again
He wasn't socially awkward and just strange as a kid
He had a father and his mother wasn't crazy as shit
And he never dreamed he can ripped stadiums he just lazy as shit
F*ck a talent show in the gymnasium bitch
You won't amount to shit quit day dreaming kid
You need to get ya cranium check you thinking like an alien
It just ain't realistic
Now pretend they ain't just make him angry with this shit
And there was no one he could even aim when he's pissed with
And his alarm went off to wake him but he didn't make it to the rap Olympics
He slept through his plane and he missed it
He's gonna have a hard time explaining to Haley and Laney these food stamps and W-I-C shit
'Cause he never risked shit, he hoped and he wished it
But it didn't fall in his lap so he ain't even hear it he pretends that

Airplanes
In the night sky
Is like shooting stars
I could really use a wish right now (wish right now, wish right now)
Can we pretend that airplanes
In the night sky
Are like shooting stars
I could really use a wish right now (wish right now, wish right now)"
303,"A long long time ago
I can still remember how
That music used to make me smile
And I knew if I had my chance
That I could make those people dance
And maybe they'd be happy for a while

But February made me shiver
With every paper I'd deliver
Bad news on the doorstep
I couldn't take one more step

I can't remember if I cried
When I read about his widowed bride
Something touched me deep inside
The day the music died
So

Bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
And them good ole boys were drinking whiskey and rye
Singin' this'll be the day that I die
This'll be the day that I die

Did you write the book of love
And do you have faith in God above
If the Bible tells you so?
Do you believe in rock and roll?
Can music save your mortal soul?
And can you teach me how to dance real slow?

Well, I know that you're in love with him
'Cause I saw you dancin' in the gym
You both kicked off your shoes
Man, I dig those rhythm and blues

I was a lonely teenage broncin' buck
With a pink carnation and a pickup truck
But I knew I was out of luck
The day the music died
I started singin'

Bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
And them good ole boys were drinking whiskey and rye
Singin' this'll be the day that I die
This'll be the day that I die

Now, for ten years we've been on our own
And moss grows fat on a rolling stone
But, that's not how it used to be

When the jester sang for the king and queen
In a coat he borrowed from James Dean
And a voice that came from you and me

Oh and while the king was looking down
The jester stole his thorny crown
The courtroom was adjourned
No verdict was returned

And while Lennon read a book on Marx
The quartet practiced in the park
And we sang dirges in the dark
The day the music died
We were singin'

Bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good ole boys were drinking whiskey and rye
And singin' this'll be the day that I die
This'll be the day that I die

Helter skelter in a summer swelter
The birds flew off with a fallout shelter
Eight miles high and falling fast

It landed foul on the grass
The players tried for a forward pass
With the jester on the sidelines in a cast

Now the half-time air was sweet perfume
While sergeants played a marching tune
We all got up to dance
Oh, but we never got the chance

'Cause the players tried to take the field
The marching band refused to yield
Do you recall what was revealed
The day the music died?
We started singin'

Bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good ole boys were drinking whiskey and rye
And singin' this'll be the day that I die
This'll be the day that I die

Oh, and there we were all in one place
A generation lost in space
With no time left to start again

So come on Jack be nimble, Jack be quick
Jack Flash sat on a candlestick
'Cause fire is the devil's only friend

Oh and as I watched him on the stage
My hands were clenched in fists of rage
No angel born in Hell
Could break that Satan's spell

And as the flames climbed high into the night
To light the sacrificial rite
I saw Satan laughing with delight
The day the music died
He was singin'

Bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good ole boys were drinking whiskey and rye
Singin' this'll be the day that I die
This'll be the day that I die

I met a girl who sang the blues
And I asked her for some happy news
But she just smiled and turned away

I went down to the sacred store
Where I'd heard the music years before
But the man there said the music wouldn't play

And in the streets the children screamed
The lovers cried, and the poets dreamed
But not a word was spoken
The church bells all were broken

And the three men I admire most
The Father, Son, and the Holy Ghost
They caught the last train for the coast
The day the music died
And they were singing

Bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
And them good ole boys were drinking whiskey and rye
Singin' this'll be the day that I die
This'll be the day that I die

They were singing
Bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good ole boys were drinking whiskey and rye
Singin' this'll be the day that I die"
81,"Yeah, what up, Detroit?
Nu-uh, nu-uh nuh, no, he didn't
They didn't do it again (What-what, you what?)
You shitted on these niggas two times, Dr. Dre?
Oh, fo' sho'
Uh-uh, naw, you smell that?
This is special right here (What-what, what-what-what?)
Yeah, it's a toast to the boogie, baby
To the boogie-oogie-oogie
Yeah, you know, what's crackin', Dre?

Just let me lay back and kick some old simplistic pimp shit
On Slim's shit, and start riots like Limp Bizkit
Throw on ""Guilty Conscience"" at concerts
And watch mosh pits
'Til motherfuckers knock each other unconscious
(Watch out, nigga!)
Some of these crowds that Slim draws is rowdy as Crenshaw
Boulevard, when it's packed and full of cars
Some of these crowds me and Snoop draw
Is niggas from Crenshaw, from Long Beach to South Central
Whoa, not these niggas again
These grown-ass ignorant men with hair-triggers again (Shit)
You and what army could harm me?
D.R.E. and Shady with Doggy from Long Beach (Westside)
Came a long way to makin' these songs play
It'll be a wrong move to stare at me the wrong way
I got a long Uz' and I carry it all day
Sometimes it's like a nightmare just bein' Andre
But I

Somehow, some way
Hello nigga, you know about Dogg-ay (Snoop Dogg)
Now let me cut these niggas up
And show 'em where the f*ck I'm comin' from
I get the party crackin' from the shit that I be spittin', son
Hit-and-run, get it done, get the funds, split and run
Got about fifty guns
And I love all of 'em the same, bang-bang (Word up)
Damn, baby girl, what's your name?
I forgot, what'd you say it was?
Damn, a nigga buzzed (Fucked up)
Hangin' in the club with my nephew Eminem (What's up Slim)
(What up, Cuz? What up, Snoop!)
The Great White American Hope
Done hooked up with the king of the motherfuckin' West Coast
Baby

And you don't really wanna f*ck with me
Only nigga that I trust is me
F*ck around and make me bust this heat
That's the devil, they always wanna dance

I'm the Head Nigga In Charge, I'm watchin' you move
You're found dead in your garage
With ten o'clock news coverage
Gotta love it 'cause I expose the facade
Your little lungs is too small to hotbox with God
All jokes aside, come bounce with us
Standin' over you with a 12 gauge, about to bust
It's like ashes to ashes and dust to dust
I might leave in a bodybag, but never in cuffs
So who do you trust? They just not rugged enough
When things get rough I'm in the club shootin' with Puff
Bitch, please! You must have a mental disease
Assume the position and get back down on your knees
Come on

And you don't really wanna f*ck with me
Only nigga that I trust is me
F*ck around and make me bust this heat
That's the devil, they always wanna dance
And you don't really wanna f*ck with me
Only nigga that I trust is me
F*ck around and make me bust this heat
That's the devil, they always wanna dance

Aww, naww, big Slim Dogg
Eighty pound balls, (What?) dick six inch long (Mm)
Back up in the heezy, baby
He's Shady (He's so crazy!)
Give me the mic, let me recite 'til Timothy White
Pickets outside the Interscope offices every night
What if he's right? I'm just a criminal
Makin' a livin' off of the world's misery
What in the world gives me the right to say what I like?
And walk around flippin' the bird
Livin' the urban life, like a white kid from the burbs
Dreamin' at night of screamin' at Mom, schemin' to leave
Run away from home, and grow to be as evil as me
I just want you all to notice me, and people to see
That somewhere deep down there's a decent human being in me
It just can't be found, so the reason you've been seeing this me
Is 'cause this is me now, the recent dude who's being this mean
So when you see me dressin' up like a nerd on TV
Or heard the CD usin' the fag word so freely
It's just me bein' me; here, want me to tone it down?
Suck my fuckin' dick, you faggot! You happy now?
Look here, I start some trouble everywhere that I go (That I go)
Ask the bouncers in the club 'cause they know ('Cause they know)
I start some shit, they throw me out the back door (The back door)
Come back and shoot the club up with a .44 (a .44)

And you don't really wanna f*ck with me
Only nigga that I trust is me
F*ck around and make me bust this heat
That's the devil, they always wanna dance
And you don't really wanna f*ck with me
Only nigga that I trust is me
F*ck around and make me bust this heat
That's the devil, they always wanna dance

2001 and forever
Slim Shady
Dr. Dre
Snoop Dogg
X to the Z
Nate Dogg
Come on, yeah"
402,"Don't sit there like some silly girl
If you wait too long it'll be too late
I'm not telling you something new
There ain't no time to lose
It's time for you to celebrate

So get down, beep beep, gotta get up outta your seat (Get up, little girl)
Get down, beep beep, gotta get up outta your seat (It's time, your world)
Get down, beep beep, gotta get up outta your seat (Your life, your choice)
Get down, beep beep, gotta get up outta your seat (It's time, live it up)

On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes

You don't have the luxury of time
You have got to say what's on your mind
Your head lost in the stars
You'll never go far
It's time for you to read the signs

So get down, beep beep, gotta get up outta your seat (Here comes, my hand)
Get down, beep beep, gotta get up outta your seat (Take it, you can)
Get down, beep beep, gotta get up outta your seat (The time, is now)
Get down, beep beep, gotta get up outta your seat (I'll show, you how)

On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes
On and on, on the beat goes

Say what you like
Do what you feel
You know exactly who you are
The time is right now
You got to decide
Stand in the back or be the star

Get down, beep beep, gotta get up outta your seat (Here comes, my hand)
Get down, beep beep, gotta get up outta your seat (Take it, you can)
Get down, beep beep, gotta get up outta your seat (The time, is now)
Get down, beep beep, gotta get up outta your seat (I'll show, you how)

I can't keep waiting for you
Anticipating that you've
No time to lose
I can't keep waiting for you

Here's a impromptu I want you
I'm going to tell you what I want to do to you
Your girlfriend she wants to
Beautiful
Just flew in from Paris
Voulez vouz?
And the city that don't snooze
Smooze amongst the whose who's
And I use my celeb to get this one home
Why everything that feel so good gotta be so wrong?
Gimme room now
I'm like a vampire on the full moon now
And I don't know about you now
But I think I wanna try something new now
See what it do now
And when you sat down
Uh, cause you was losing your breath now
Uh, cause you be doing it to death now
She be doing E to F now
What's left now?
Mr. West now
Can you get any more fresh now?
I think I just did, just now
Talking my shit, that's how
I'm a professional, I admit that
Flashing lights show I live that
Fame is a drug, wanna hit that?
'Cause I know exactly where to get that
Did you get that?

Get down, beep beep, gotta get up off a your seat
Get down, beep beep, gotta get up off a your seat now

On and on
The beat goes
On and on

'Cause they know exactly where to get that
Did you get that?

Let's go, beep beep, gotta get up outta your seat
Get down, beep beep, gotta get up outta your seat

On and on
The beat goes
On and on
The beat goes
On and on
On and on
On and on"
479,"Each time you break my heart
Each time you break my heart

I know how it feels to be the talk of the town
I'm not gonna let you go and run around
I ne..."
